pair,individuals,domain,basin,nA,nB,eligible,exclusion_reason
AL061941__AL011987,"['AL061941', 'AL011987']",hurricane,atlantic,29,31,True,
AL061947__AL041985,"['AL061947', 'AL041985']",hurricane,atlantic,27,37,True,
AL061947__AL051852,"['AL061947', 'AL051852']",hurricane,atlantic,27,25,True,
AL061947__AL071891,"['AL061947', 'AL071891']",hurricane,atlantic,27,25,True,
AL061955__AL071964,"['AL061955', 'AL071964']",hurricane,atlantic,31,49,True,
AL061971__AL011962,"['AL061971', 'AL011962']",hurricane,atlantic,29,30,True,
AL061971__AL021954,"['AL061971', 'AL021954']",hurricane,atlantic,29,27,True,
AL061971__AL031908,"['AL061971', 'AL031908']",hurricane,atlantic,29,43,True,
AL061971__AL101984,"['AL061971', 'AL101984']",hurricane,atlantic,29,33,True,
AL061971__AL111972,"['AL061971', 'AL111972']",hurricane,atlantic,29,29,True,
AL061991__AL061976,"['AL061991', 'AL061976']",hurricane,atlantic,43,37,True,
AL062004__AL051961,"['AL062004', 'AL051961']",hurricane,atlantic,74,67,True,
AL062005__AL131949,"['AL062005', 'AL131949']",hurricane,atlantic,37,35,True,
AL062006__AL021896,"['AL062006', 'AL021896']",hurricane,atlantic,47,52,True,
AL062006__AL042005,"['AL062006', 'AL042005']",hurricane,atlantic,47,59,True,
AL071865__AL111924,"['AL071865', 'AL111924']",hurricane,atlantic,34,38,True,
AL071867__AL011923,"['AL071867', 'AL011923']",hurricane,atlantic,34,28,True,
AL071867__AL041979,"['AL071867', 'AL041979']",hurricane,atlantic,34,29,True,
AL071869__AL091990,"['AL071869', 'AL091990']",hurricane,atlantic,32,26,True,
AL071871__AL041979,"['AL071871', 'AL041979']",hurricane,atlantic,33,29,True,
AL071879__AL031895,"['AL071879', 'AL031895']",hurricane,atlantic,25,39,True,
AL071891__AL041985,"['AL071891', 'AL041985']",hurricane,atlantic,25,37,True,
AL071891__AL061882,"['AL071891', 'AL061882']",hurricane,atlantic,25,45,True,
AL071891__AL061939,"['AL071891', 'AL061939']",hurricane,atlantic,25,39,True,
AL071891__AL111878,"['AL071891', 'AL111878']",hurricane,atlantic,25,33,True,
AL071891__AL111924,"['AL071891', 'AL111924']",hurricane,atlantic,25,38,True,
AL071892__AL011917,"['AL071892', 'AL011917']",hurricane,atlantic,45,33,True,
AL071892__AL051933,"['AL071892', 'AL051933']",hurricane,atlantic,45,51,True,
AL071892__AL091887,"['AL071892', 'AL091887']",hurricane,atlantic,45,47,True,
AL071898__AL041899,"['AL071898', 'AL041899']",hurricane,atlantic,49,43,True,
AL071898__AL082008,"['AL071898', 'AL082008']",hurricane,atlantic,49,49,True,
AL071921__AL011987,"['AL071921', 'AL011987']",hurricane,atlantic,28,31,True,
AL071924__AL031853,"['AL071924', 'AL031853']",hurricane,atlantic,48,48,True,
AL071924__AL051996,"['AL071924', 'AL051996']",hurricane,atlantic,48,73,True,
AL071931__AL021960,"['AL071931', 'AL021960']",hurricane,atlantic,33,34,True,
AL071931__AL101955,"['AL071931', 'AL101955']",hurricane,atlantic,33,40,True,
AL071944__AL021879,"['AL071944', 'AL021879']",hurricane,atlantic,32,32,True,
AL071944__AL041899,"['AL071944', 'AL041899']",hurricane,atlantic,32,43,True,
AL071944__AL091945,"['AL071944', 'AL091945']",hurricane,atlantic,32,39,True,
AL071951__AL022008,"['AL071951', 'AL022008']",hurricane,atlantic,35,74,True,
AL071951__AL041906,"['AL071951', 'AL041906']",hurricane,atlantic,35,74,True,
AL071951__AL091985,"['AL071951', 'AL091985']",hurricane,atlantic,35,65,True,
AL071951__AL121973,"['AL071951', 'AL121973']",hurricane,atlantic,35,37,True,
AL071957__AL102000,"['AL071957', 'AL102000']",hurricane,atlantic,29,29,True,
AL071961__AL131887,"['AL071961', 'AL131887']",hurricane,atlantic,41,53,True,
AL071966__AL061984,"['AL071966', 'AL061984']",hurricane,atlantic,26,33,True,
AL071989__AL121980,"['AL071989', 'AL121980']",hurricane,atlantic,37,61,True,
AL071996__AL102015,"['AL071996', 'AL102015']",hurricane,atlantic,29,51,True,
AL072006__AL011900,"['AL072006', 'AL011900']",hurricane,atlantic,62,81,False,previously tested unordered pair
AL072006__AL031955,"['AL072006', 'AL031955']",hurricane,atlantic,62,67,True,
AL072010__AL112010,"['AL072010', 'AL112010']",hurricane,atlantic,55,61,True,
AL081880__AL051880,"['AL081880', 'AL051880']",hurricane,atlantic,32,40,True,
AL081886__AL071958,"['AL081886', 'AL071958']",hurricane,atlantic,36,34,True,
AL081889__AL141999,"['AL081889', 'AL141999']",hurricane,atlantic,29,34,True,
AL081891__AL061899,"['AL081891', 'AL061899']",hurricane,atlantic,35,26,True,
AL081892__AL062005,"['AL081892', 'AL062005']",hurricane,atlantic,30,37,True,
AL081931__AL091958,"['AL081931', 'AL091958']",hurricane,atlantic,25,26,True,
AL081934__AL031901,"['AL081934', 'AL031901']",hurricane,atlantic,29,42,True,
AL081954__AL041949,"['AL081954', 'AL041949']",hurricane,atlantic,41,35,True,
AL081954__AL051900,"['AL081954', 'AL051900']",hurricane,atlantic,41,42,True,
AL081958__AL082006,"['AL081958', 'AL082006']",hurricane,atlantic,54,55,True,
AL081961__AL131949,"['AL081961', 'AL131949']",hurricane,atlantic,28,35,True,
AL081967__AL161967,"['AL081967', 'AL161967']",hurricane,atlantic,25,33,True,
AL081968__AL022009,"['AL081968', 'AL022009']",hurricane,atlantic,31,26,True,
AL081968__AL061989,"['AL081968', 'AL061989']",hurricane,atlantic,31,36,True,
AL081968__AL102008,"['AL081968', 'AL102008']",hurricane,atlantic,31,33,True,
AL081969__AL021996,"['AL081969', 'AL021996']",hurricane,atlantic,45,51,True,
AL081969__AL062001,"['AL081969', 'AL062001']",hurricane,atlantic,45,62,True,
AL081969__AL072006,"['AL081969', 'AL072006']",hurricane,atlantic,45,62,True,
AL081979__AL031943,"['AL081979', 'AL031943']",hurricane,atlantic,25,34,True,
AL081979__AL041899,"['AL081979', 'AL041899']",hurricane,atlantic,25,43,True,
AL081989__AL141979,"['AL081989', 'AL141979']",hurricane,atlantic,63,44,True,
AL081999__AL041851,"['AL081999', 'AL041851']",hurricane,atlantic,50,49,True,
AL081999__AL051964,"['AL081999', 'AL051964']",hurricane,atlantic,50,64,True,
AL082012__AL111966,"['AL082012', 'AL111966']",hurricane,atlantic,26,39,True,
AL082014__AL011950,"['AL082014', 'AL011950']",hurricane,atlantic,39,51,True,
AL082014__AL061887,"['AL082014', 'AL061887']",hurricane,atlantic,39,38,True,
AL082014__AL061937,"['AL082014', 'AL061937']",hurricane,atlantic,39,31,True,
AL091878__AL061950,"['AL091878', 'AL061950']",hurricane,atlantic,32,38,True,
AL091878__AL101903,"['AL091878', 'AL101903']",hurricane,atlantic,32,35,True,
AL091880__AL101924,"['AL091880', 'AL101924']",hurricane,atlantic,25,40,True,
AL091887__AL051933,"['AL091887', 'AL051933']",hurricane,atlantic,47,51,True,
AL091887__AL131967,"['AL091887', 'AL131967']",hurricane,atlantic,47,70,True,
AL091889__AL011995,"['AL091889', 'AL011995']",hurricane,atlantic,27,35,True,
AL091898__AL051897,"['AL091898', 'AL051897']",hurricane,atlantic,51,54,True,
AL091909__AL051985,"['AL091909', 'AL051985']",hurricane,atlantic,35,33,True,
AL091909__AL182005,"['AL091909', 'AL182005']",hurricane,atlantic,35,36,True,
AL091932__AL031864,"['AL091932', 'AL031864']",hurricane,atlantic,31,26,True,
AL091932__AL041888,"['AL091932', 'AL041888']",hurricane,atlantic,31,34,True,
AL091932__AL111898,"['AL091932', 'AL111898']",hurricane,atlantic,31,35,True,
AL091933__AL021885,"['AL091933', 'AL021885']",hurricane,atlantic,34,32,True,
AL091933__AL051863,"['AL091933', 'AL051863']",hurricane,atlantic,34,32,True,
AL091933__AL052001,"['AL091933', 'AL052001']",hurricane,atlantic,34,27,True,
AL091943__AL011861,"['AL091943', 'AL011861']",hurricane,atlantic,25,28,True,
AL091943__AL021943,"['AL091943', 'AL021943']",hurricane,atlantic,25,26,True,
AL091943__AL041852,"['AL091943', 'AL041852']",hurricane,atlantic,25,36,True,
AL091944__AL031917,"['AL091944', 'AL031917']",hurricane,atlantic,29,35,True,
AL091945__AL041899,"['AL091945', 'AL041899']",hurricane,atlantic,39,43,True,
AL091945__AL082008,"['AL091945', 'AL082008']",hurricane,atlantic,39,49,True,
AL091947__AL011953,"['AL091947', 'AL011953']",hurricane,atlantic,36,53,True,
AL091947__AL172008,"['AL091947', 'AL172008']",hurricane,atlantic,36,35,True,
AL091958__AL131974,"['AL091958', 'AL131974']",hurricane,atlantic,26,38,True,
AL091964__AL041851,"['AL091964', 'AL041851']",hurricane,atlantic,48,49,True,
AL091964__AL041962,"['AL091964', 'AL041962']",hurricane,atlantic,48,41,True,
AL091964__AL081996,"['AL091964', 'AL081996']",hurricane,atlantic,48,53,True,
AL091968__AL131981,"['AL091968', 'AL131981']",hurricane,atlantic,38,47,True,
AL091969__AL252005,"['AL091969', 'AL252005']",hurricane,atlantic,37,47,True,
AL091974__AL032012,"['AL091974', 'AL032012']",hurricane,atlantic,28,31,True,
AL091974__AL082005,"['AL091974', 'AL082005']",hurricane,atlantic,28,44,True,
AL091974__AL121893,"['AL091974', 'AL121893']",hurricane,atlantic,28,32,True,
AL091974__AL131981,"['AL091974', 'AL131981']",hurricane,atlantic,28,47,True,
AL091979__AL051899,"['AL091979', 'AL051899']",hurricane,atlantic,55,52,True,
AL091980__AL041893,"['AL091980', 'AL041893']",hurricane,atlantic,32,47,True,
AL091980__AL081996,"['AL091980', 'AL081996']",hurricane,atlantic,32,53,True,
AL091985__AL022008,"['AL091985', 'AL022008']",hurricane,atlantic,65,74,True,
AL091988__AL031894,"['AL091988', 'AL031894']",hurricane,atlantic,44,44,True,
AL091999__AL031913,"['AL091999', 'AL031913']",hurricane,atlantic,49,70,True,
AL091999__AL031950,"['AL091999', 'AL031950']",hurricane,atlantic,49,61,True,
AL091999__AL061933,"['AL091999', 'AL061933']",hurricane,atlantic,49,62,True,
AL091999__AL101989,"['AL091999', 'AL101989']",hurricane,atlantic,49,58,True,
AL092011__AL031966,"['AL092011', 'AL031966']",hurricane,atlantic,43,36,True,
AL092011__AL061889,"['AL092011', 'AL061889']",hurricane,atlantic,43,61,True,
AL092013__AL042004,"['AL092013', 'AL042004']",hurricane,atlantic,46,46,True,
AL101878__AL101953,"['AL101878', 'AL101953']",hurricane,atlantic,28,41,True,
AL101878__AL121995,"['AL101878', 'AL121995']",hurricane,atlantic,28,31,True,
AL101886__AL031905,"['AL101886', 'AL031905']",hurricane,atlantic,25,28,True,
AL101886__AL051950,"['AL101886', 'AL051950']",hurricane,atlantic,25,38,True,
AL101886__AL111973,"['AL101886', 'AL111973']",hurricane,atlantic,25,25,True,
AL101893__AL011968,"['AL101893', 'AL011968']",hurricane,atlantic,35,51,True,
AL101916__AL251967,"['AL101916', 'AL251967']",hurricane,atlantic,35,54,True,
AL101924__AL152001,"['AL101924', 'AL152001']",hurricane,atlantic,40,34,True,
AL101955__AL021960,"['AL101955', 'AL021960']",hurricane,atlantic,40,34,True,
AL101955__AL071892,"['AL101955', 'AL071892']",hurricane,atlantic,40,45,True,
AL101964__AL011994,"['AL101964', 'AL011994']",hurricane,atlantic,30,32,True,
AL101980__AL011897,"['AL101980', 'AL011897']",hurricane,atlantic,27,43,True,
AL101984__AL011962,"['AL101984', 'AL011962']",hurricane,atlantic,33,30,True,
AL101984__AL061897,"['AL101984', 'AL061897']",hurricane,atlantic,33,36,True,
AL101987__AL031900,"['AL101987', 'AL031900']",hurricane,atlantic,49,62,True,
AL101987__AL092013,"['AL101987', 'AL092013']",hurricane,atlantic,49,46,True,
AL102003__AL062010,"['AL102003', 'AL062010']",hurricane,atlantic,53,51,True,
AL102008__AL061989,"['AL102008', 'AL061989']",hurricane,atlantic,33,36,True,
AL111898__AL031931,"['AL111898', 'AL031931']",hurricane,atlantic,35,34,True,
AL111898__AL041888,"['AL111898', 'AL041888']",hurricane,atlantic,35,34,True,
AL111898__AL041941,"['AL111898', 'AL041941']",hurricane,atlantic,35,29,True,
AL111901__AL021998,"['AL111901', 'AL021998']",hurricane,atlantic,39,49,True,
AL111901__AL121987,"['AL111901', 'AL121987']",hurricane,atlantic,39,30,True,
AL111909__AL111924,"['AL111909', 'AL111924']",hurricane,atlantic,30,38,True,
AL111916__AL031962,"['AL111916', 'AL031962']",hurricane,atlantic,31,40,True,
AL111916__AL041955,"['AL111916', 'AL041955']",hurricane,atlantic,31,60,True,
AL111916__AL041962,"['AL111916', 'AL041962']",hurricane,atlantic,31,41,True,
AL111924__AL061939,"['AL111924', 'AL061939']",hurricane,atlantic,38,39,True,
AL111932__AL021916,"['AL111932', 'AL021916']",hurricane,atlantic,47,51,True,
AL111932__AL111964,"['AL111932', 'AL111964']",hurricane,atlantic,47,35,True,
AL111950__AL011953,"['AL111950', 'AL011953']",hurricane,atlantic,31,53,True,
AL111950__AL021942,"['AL111950', 'AL021942']",hurricane,atlantic,31,26,True,
AL111950__AL051950,"['AL111950', 'AL051950']",hurricane,atlantic,31,38,True,
AL111950__AL172008,"['AL111950', 'AL172008']",hurricane,atlantic,31,35,True,
AL111950__AL201971,"['AL111950', 'AL201971']",hurricane,atlantic,31,33,True,
AL111967__AL091980,"['AL111967', 'AL091980']",hurricane,atlantic,29,32,True,
AL111972__AL021954,"['AL111972', 'AL021954']",hurricane,atlantic,29,27,True,
AL111972__AL101984,"['AL111972', 'AL101984']",hurricane,atlantic,29,33,True,
AL111973__AL071938,"['AL111973', 'AL071938']",hurricane,atlantic,25,30,True,
AL111979__AL021915,"['AL111979', 'AL021915']",hurricane,atlantic,68,75,True,
AL111985__AL011948,"['AL111985', 'AL011948']",hurricane,atlantic,36,28,True,
AL111989__AL051960,"['AL111989', 'AL051960']",hurricane,atlantic,64,72,True,
AL111989__AL131995,"['AL111989', 'AL131995']",hurricane,atlantic,64,66,True,
AL111994__AL051891,"['AL111994', 'AL051891']",hurricane,atlantic,28,44,True,
AL111994__AL101950,"['AL111994', 'AL101950']",hurricane,atlantic,28,27,True,
AL112009__AL011953,"['AL112009', 'AL011953']",hurricane,atlantic,31,53,True,
AL112009__AL061940,"['AL112009', 'AL061940']",hurricane,atlantic,31,29,True,
AL112009__AL091947,"['AL112009', 'AL091947']",hurricane,atlantic,31,36,True,
AL112009__AL172008,"['AL112009', 'AL172008']",hurricane,atlantic,31,35,True,
AL112010__AL051960,"['AL112010', 'AL051960']",hurricane,atlantic,61,72,True,
AL112010__AL111989,"['AL112010', 'AL111989']",hurricane,atlantic,61,64,True,
AL121893__AL032012,"['AL121893', 'AL032012']",hurricane,atlantic,32,31,True,
AL121893__AL082005,"['AL121893', 'AL082005']",hurricane,atlantic,32,44,True,
AL121893__AL131981,"['AL121893', 'AL131981']",hurricane,atlantic,32,47,True,
AL121893__AL161984,"['AL121893', 'AL161984']",hurricane,atlantic,32,56,True,
AL121953__AL011945,"['AL121953', 'AL011945']",hurricane,atlantic,40,59,True,
AL121968__AL121893,"['AL121968', 'AL121893']",hurricane,atlantic,30,32,True,
AL121973__AL022008,"['AL121973', 'AL022008']",hurricane,atlantic,37,74,True,
AL121978__AL051892,"['AL121978', 'AL051892']",hurricane,atlantic,33,48,True,
AL121980__AL121973,"['AL121980', 'AL121973']",hurricane,atlantic,61,37,True,
AL121995__AL101953,"['AL121995', 'AL101953']",hurricane,atlantic,31,41,True,
AL122005__AL051995,"['AL122005', 'AL051995']",hurricane,atlantic,34,30,True,
AL131887__AL061889,"['AL131887', 'AL061889']",hurricane,atlantic,53,61,True,
AL131916__AL031943,"['AL131916', 'AL031943']",hurricane,atlantic,36,34,True,
AL131969__AL161978,"['AL131969', 'AL161978']",hurricane,atlantic,27,26,True,
AL131971__AL031901,"['AL131971', 'AL031901']",hurricane,atlantic,51,42,True,
AL131974__AL061886,"['AL131974', 'AL061886']",hurricane,atlantic,38,52,True,
AL131981__AL032012,"['AL131981', 'AL032012']",hurricane,atlantic,47,31,True,
AL132000__AL061948,"['AL132000', 'AL061948']",hurricane,atlantic,52,54,True,
AL132000__AL122011,"['AL132000', 'AL122011']",hurricane,atlantic,52,64,True,
AL141916__AL051985,"['AL141916', 'AL051985']",hurricane,atlantic,43,33,True,
AL141933__AL011917,"['AL141933', 'AL011917']",hurricane,atlantic,38,33,True,
AL141933__AL021878,"['AL141933', 'AL021878']",hurricane,atlantic,38,45,True,
AL141933__AL021895,"['AL141933', 'AL021895']",hurricane,atlantic,38,36,True,
AL141933__AL051933,"['AL141933', 'AL051933']",hurricane,atlantic,38,51,True,
AL141933__AL071892,"['AL141933', 'AL071892']",hurricane,atlantic,38,45,True,
AL141933__AL091887,"['AL141933', 'AL091887']",hurricane,atlantic,38,47,True,
AL141933__AL131967,"['AL141933', 'AL131967']",hurricane,atlantic,38,70,True,
AL141968__AL171933,"['AL141968', 'AL171933']",hurricane,atlantic,34,33,True,
AL141975__AL071964,"['AL141975', 'AL071964']",hurricane,atlantic,46,49,True,
AL141975__AL132004,"['AL141975', 'AL132004']",hurricane,atlantic,46,55,True,
AL142011__AL011963,"['AL142011', 'AL011963']",hurricane,atlantic,42,43,True,
AL142011__AL041893,"['AL142011', 'AL041893']",hurricane,atlantic,42,47,True,
AL142013__AL082012,"['AL142013', 'AL082012']",hurricane,atlantic,26,26,True,
AL142013__AL111966,"['AL142013', 'AL111966']",hurricane,atlantic,26,39,True,
AL151936__AL031966,"['AL151936', 'AL031966']",hurricane,atlantic,28,36,True,
AL151936__AL071961,"['AL151936', 'AL071961']",hurricane,atlantic,28,41,True,
AL151975__AL071963,"['AL151975', 'AL071963']",hurricane,atlantic,46,69,True,
AL151988__AL021958,"['AL151988', 'AL021958']",hurricane,atlantic,45,37,True,
AL161970__AL041983,"['AL161970', 'AL041983']",hurricane,atlantic,35,26,True,
AL171933__AL091969,"['AL171933', 'AL091969']",hurricane,atlantic,33,37,True,
AL171933__AL252005,"['AL171933', 'AL252005']",hurricane,atlantic,33,47,True,
AL171969__AL171974,"['AL171969', 'AL171974']",hurricane,atlantic,27,27,True,
AL171972__AL031900,"['AL171972', 'AL031900']",hurricane,atlantic,41,62,True,
AL171972__AL101987,"['AL171972', 'AL101987']",hurricane,atlantic,41,49,True,
AL171976__AL101916,"['AL171976', 'AL101916']",hurricane,atlantic,35,35,True,
AL171980__AL112009,"['AL171980', 'AL112009']",hurricane,atlantic,25,31,True,
AL171980__AL172008,"['AL171980', 'AL172008']",hurricane,atlantic,25,35,True,
AL181887__AL011930,"['AL181887', 'AL011930']",hurricane,atlantic,26,50,True,
AL181887__AL091888,"['AL181887', 'AL091888']",hurricane,atlantic,26,64,False,previously tested unordered pair
AL181887__AL211976,"['AL181887', 'AL211976']",hurricane,atlantic,26,26,True,
AL182005__AL051985,"['AL182005', 'AL051985']",hurricane,atlantic,36,33,True,
AL182011__AL061926,"['AL182011', 'AL061926']",hurricane,atlantic,31,27,False,previously tested unordered pair
AL182011__AL071912,"['AL182011', 'AL071912']",hurricane,atlantic,31,42,True,
AL182011__AL101943,"['AL182011', 'AL101943']",hurricane,atlantic,31,26,True,
AL192011__AL102000,"['AL192011', 'AL102000']",hurricane,atlantic,27,29,True,
AL201971__AL011994,"['AL201971', 'AL011994']",hurricane,atlantic,33,32,True,
AL201971__AL151979,"['AL201971', 'AL151979']",hurricane,atlantic,33,39,True,
AL211995__AL071894,"['AL211995', 'AL071894']",hurricane,atlantic,29,42,True,
EP011957__EP051998,"['EP011957', 'EP051998']",hurricane,pacific,45,37,True,
EP011957__EP052006,"['EP011957', 'EP052006']",hurricane,pacific,45,48,True,
EP011957__EP071991,"['EP011957', 'EP071991']",hurricane,pacific,45,40,True,
EP011957__EP081997,"['EP011957', 'EP081997']",hurricane,pacific,45,33,True,
EP011958__EP032015,"['EP011958', 'EP032015']",hurricane,pacific,41,32,True,
EP011958__EP191983,"['EP011958', 'EP191983']",hurricane,pacific,41,34,True,
EP011958__EP212014,"['EP011958', 'EP212014']",hurricane,pacific,41,27,True,
EP011969__EP011976,"['EP011969', 'EP011976']",hurricane,pacific,28,44,True,
EP011969__EP021984,"['EP011969', 'EP021984']",hurricane,pacific,28,82,True,
EP011969__EP141998,"['EP011969', 'EP141998']",hurricane,pacific,28,47,True,
EP011970__EP011973,"['EP011970', 'EP011973']",hurricane,pacific,31,43,True,
EP011970__EP021969,"['EP011970', 'EP021969']",hurricane,pacific,31,33,True,
EP011970__EP091972,"['EP011970', 'EP091972']",hurricane,pacific,31,33,True,
EP011970__EP092012,"['EP011970', 'EP092012']",hurricane,pacific,31,47,True,
EP011970__EP161970,"['EP011970', 'EP161970']",hurricane,pacific,31,31,True,
EP011970__EP191984,"['EP011970', 'EP191984']",hurricane,pacific,31,33,True,
EP011973__EP031998,"['EP011973', 'EP031998']",hurricane,pacific,43,36,True,
EP011973__EP041992,"['EP011973', 'EP041992']",hurricane,pacific,43,50,True,
EP011973__EP091998,"['EP011973', 'EP091998']",hurricane,pacific,43,40,True,
EP011973__EP191984,"['EP011973', 'EP191984']",hurricane,pacific,43,33,True,
EP011976__EP021984,"['EP011976', 'EP021984']",hurricane,pacific,44,82,True,
EP011976__EP111988,"['EP011976', 'EP111988']",hurricane,pacific,44,34,True,
EP011976__EP241990,"['EP011976', 'EP241990']",hurricane,pacific,44,41,True,
EP011980__EP191990,"['EP011980', 'EP191990']",hurricane,pacific,28,35,True,
EP011983__EP171986,"['EP011983', 'EP171986']",hurricane,pacific,31,28,True,
EP012001__EP042013,"['EP012001', 'EP042013']",hurricane,pacific,29,40,True,
EP012001__EP111988,"['EP012001', 'EP111988']",hurricane,pacific,29,34,True,
EP012002__EP012001,"['EP012002', 'EP012001']",hurricane,pacific,31,29,True,
EP012002__EP032014,"['EP012002', 'EP032014']",hurricane,pacific,31,41,True,
EP012002__EP111988,"['EP012002', 'EP111988']",hurricane,pacific,31,34,True,
EP012002__EP172013,"['EP012002', 'EP172013']",hurricane,pacific,31,48,True,
EP012002__EP241990,"['EP012002', 'EP241990']",hurricane,pacific,31,41,True,
EP012003__EP031995,"['EP012003', 'EP031995']",hurricane,pacific,28,42,True,
EP012003__EP051968,"['EP012003', 'EP051968']",hurricane,pacific,28,33,True,
EP012003__EP082008,"['EP012003', 'EP082008']",hurricane,pacific,28,40,True,
EP012003__EP111968,"['EP012003', 'EP111968']",hurricane,pacific,28,41,True,
EP012003__EP161974,"['EP012003', 'EP161974']",hurricane,pacific,28,43,True,
EP012011__EP012002,"['EP012011', 'EP012002']",hurricane,pacific,30,31,True,
EP012011__EP241990,"['EP012011', 'EP241990']",hurricane,pacific,30,41,True,
EP012012__EP012014,"['EP012012', 'EP012014']",hurricane,pacific,26,30,True,
EP012012__EP042013,"['EP012012', 'EP042013']",hurricane,pacific,26,40,True,
EP012014__EP212006,"['EP012014', 'EP212006']",hurricane,pacific,30,29,False,previously tested unordered pair
EP012015__EP132012,"['EP012015', 'EP132012']",hurricane,pacific,40,44,True,
EP021949__EP031949,"['EP021949', 'EP031949']",hurricane,pacific,25,25,False,previously tested unordered pair
EP021949__EP031957,"['EP021949', 'EP031957']",hurricane,pacific,25,27,True,
EP021949__EP061984,"['EP021949', 'EP061984']",hurricane,pacific,25,27,True,
EP021949__EP071995,"['EP021949', 'EP071995']",hurricane,pacific,25,27,True,
EP021949__EP081996,"['EP021949', 'EP081996']",hurricane,pacific,25,29,True,
EP021949__EP082012,"['EP021949', 'EP082012']",hurricane,pacific,25,35,True,
EP021949__EP092013,"['EP021949', 'EP092013']",hurricane,pacific,25,31,True,
EP021949__EP111995,"['EP021949', 'EP111995']",hurricane,pacific,25,41,True,
EP021949__EP112012,"['EP021949', 'EP112012']",hurricane,pacific,25,33,True,
EP021949__EP131971,"['EP021949', 'EP131971']",hurricane,pacific,25,29,True,
EP021949__EP132003,"['EP021949', 'EP132003']",hurricane,pacific,25,31,True,
EP021949__EP141967,"['EP021949', 'EP141967']",hurricane,pacific,25,37,True,
EP021949__EP142014,"['EP021949', 'EP142014']",hurricane,pacific,25,35,True,
EP021949__EP182014,"['EP021949', 'EP182014']",hurricane,pacific,25,36,True,
EP021954__EP032010,"['EP021954', 'EP032010']",hurricane,pacific,25,32,True,
EP021954__EP051988,"['EP021954', 'EP051988']",hurricane,pacific,25,25,True,
EP021954__EP061970,"['EP021954', 'EP061970']",hurricane,pacific,25,29,True,
EP021954__EP081954,"['EP021954', 'EP081954']",hurricane,pacific,25,27,True,
EP021954__EP092005,"['EP021954', 'EP092005']",hurricane,pacific,25,34,True,
EP021954__EP102008,"['EP021954', 'EP102008']",hurricane,pacific,25,41,True,
EP021954__EP122003,"['EP021954', 'EP122003']",hurricane,pacific,25,38,True,
EP021969__EP031978,"['EP021969', 'EP031978']",hurricane,pacific,33,35,True,
EP021969__EP041983,"['EP021969', 'EP041983']",hurricane,pacific,33,26,True,
EP021969__EP061982,"['EP021969', 'EP061982']",hurricane,pacific,33,32,True,
EP021969__EP071971,"['EP021969', 'EP071971']",hurricane,pacific,33,29,True,
EP021969__EP091972,"['EP021969', 'EP091972']",hurricane,pacific,33,33,True,
EP021969__EP092012,"['EP021969', 'EP092012']",hurricane,pacific,33,47,True,
EP021969__EP101985,"['EP021969', 'EP101985']",hurricane,pacific,33,37,True,
EP021969__EP111975,"['EP021969', 'EP111975']",hurricane,pacific,33,37,True,
EP021969__EP112004,"['EP021969', 'EP112004']",hurricane,pacific,33,44,True,
EP021969__EP121991,"['EP021969', 'EP121991']",hurricane,pacific,33,46,True,
EP021969__EP131986,"['EP021969', 'EP131986']",hurricane,pacific,33,28,True,
EP021969__EP151989,"['EP021969', 'EP151989']",hurricane,pacific,33,40,True,
EP021969__EP191982,"['EP021969', 'EP191982']",hurricane,pacific,33,27,True,
EP021969__EP191984,"['EP021969', 'EP191984']",hurricane,pacific,33,33,True,
EP021981__EP021949,"['EP021981', 'EP021949']",hurricane,pacific,25,25,True,
EP021981__EP031984,"['EP021981', 'EP031984']",hurricane,pacific,25,36,True,
EP021981__EP061984,"['EP021981', 'EP061984']",hurricane,pacific,25,27,True,
EP021981__EP062012,"['EP021981', 'EP062012']",hurricane,pacific,25,40,True,
EP021981__EP071995,"['EP021981', 'EP071995']",hurricane,pacific,25,27,True,
EP021981__EP072007,"['EP021981', 'EP072007']",hurricane,pacific,25,34,True,
EP021981__EP081980,"['EP021981', 'EP081980']",hurricane,pacific,25,30,True,
EP021981__EP092000,"['EP021981', 'EP092000']",hurricane,pacific,25,25,True,
EP021981__EP111983,"['EP021981', 'EP111983']",hurricane,pacific,25,36,True,
EP021981__EP131987,"['EP021981', 'EP131987']",hurricane,pacific,25,29,True,
EP021981__EP152015,"['EP021981', 'EP152015']",hurricane,pacific,25,40,True,
EP021981__EP181989,"['EP021981', 'EP181989']",hurricane,pacific,25,33,True,
EP021983__EP011976,"['EP021983', 'EP011976']",hurricane,pacific,38,44,True,
EP021983__EP021984,"['EP021983', 'EP021984']",hurricane,pacific,38,82,True,
EP021983__EP041975,"['EP021983', 'EP041975']",hurricane,pacific,38,41,True,
EP021983__EP141998,"['EP021983', 'EP141998']",hurricane,pacific,38,47,True,
EP021985__EP041965,"['EP021985', 'EP041965']",hurricane,pacific,41,31,True,
EP021985__EP042010,"['EP021985', 'EP042010']",hurricane,pacific,41,50,True,
EP021985__EP101976,"['EP021985', 'EP101976']",hurricane,pacific,41,41,True,
EP021985__EP151991,"['EP021985', 'EP151991']",hurricane,pacific,41,45,True,
EP021985__EP181984,"['EP021985', 'EP181984']",hurricane,pacific,41,36,True,
EP021991__EP011970,"['EP021991', 'EP011970']",hurricane,pacific,30,31,True,
EP021991__EP091972,"['EP021991', 'EP091972']",hurricane,pacific,30,33,True,
