curve_A,curve_B,name_A,year_A,name_B,year_B,basin,n_A,n_B,len_A_km,len_B_km,c_cube_A,c_cube_B,c_ball_A,c_ball_B,c_cube_pair,c_ball_pair,frechet_km,discrete_frechet_km,frechet_over_len
EP191982,EP131986,TARA,1982,MADELINE,1986,pacific,27,28,3357.3,3514.4,2.8328,3.1286,2.1091,2.6228,3.1286,2.6228,379.19,377.19,0.1129
EP101970,EP061970,JOYCE,1970,GRETCHEN,1970,pacific,25,29,1771.5,1593.8,2.3989,2.8371,2.0277,2.2234,2.8371,2.2234,379.67,379.71,0.2382
AL101955,AL021960,JANET,1955,ABBY,1960,atlantic,40,34,5298.7,4774.5,2.4452,2.6518,2.036,2.0502,2.6518,2.0502,379.91,375.49,0.0796
EP041965,EP231990,BERNICE,1965,TRUDY,1990,pacific,31,67,3270.7,3867.9,2.6861,6.0575,2.071,5.801,6.0575,5.801,380.14,377.44,0.1162
EP102004,EP111978,GEORGETTE,2004,KRISTY,1978,pacific,33,38,4364.6,4575.6,2.4515,2.9432,2.0278,2.1868,2.9432,2.1868,380.19,376.0,0.0871
EP031971,EP011980,CARLOTTA,1971,AGATHA,1980,pacific,27,28,3215.9,3081.2,2.8193,3.1158,2.0608,2.3249,3.1158,2.3249,380.22,378.41,0.1234
EP171987,EP081980,RAMON,1987,HOWARD,1980,pacific,27,30,2340.8,2637.3,2.8043,2.8224,2.0879,2.0695,2.8224,2.0879,380.26,378.38,0.1624
EP101980,EP101983,JAVIER,1980,JULIETTE,1983,pacific,26,31,2812.3,2490.7,2.6574,3.016,2.0604,2.2648,3.016,2.2648,380.41,378.24,0.1527
EP071990,EP072007,FAUSTO,1990,DALILA,2007,pacific,28,34,2874.0,2513.5,2.8029,2.8999,2.0342,2.3392,2.8999,2.3392,380.6,378.38,0.1514
EP081954,EP092000,UNNAMED,1954,GILMA,2000,pacific,27,25,2334.9,2151.0,2.7349,2.8266,2.1917,2.0738,2.8266,2.1917,380.63,382.04,0.177
AL141933,AL021895,UNNAMED,1933,UNNAMED,1895,atlantic,38,36,4759.0,4597.7,2.7187,2.738,2.0314,2.0165,2.738,2.0314,380.85,379.04,0.0828
EP031991,EP191984,CARLOS,1991,SIMON,1984,pacific,45,33,4480.9,3895.8,2.2153,2.8192,2.0679,2.1999,2.8192,2.1999,380.98,377.33,0.0978
EP021949,EP092013,UNNAMED,1949,IVO,2013,pacific,25,31,1932.2,2188.1,2.8231,4.3133,2.1257,3.5845,4.3133,3.5845,381.61,381.43,0.1975
EP051986,EP092014,ESTELLE,1986,ISELLE,2014,pacific,40,45,5618.1,5301.7,2.3389,2.536,2.013,2.0721,2.536,2.0721,382.04,377.72,0.0721
EP042004,EP051979,CELIA,2004,ENRIQUE,1979,pacific,30,29,2596.2,2719.3,2.2174,2.8486,2.0446,2.0898,2.8486,2.0898,382.24,380.49,0.1472
EP062003,EP031995,FELICIA,2003,BARBARA,1995,pacific,28,42,4235.4,4513.7,2.1261,2.2179,2.0141,2.014,2.2179,2.0141,382.27,378.25,0.0903
EP042006,EP031994,CARLOTTA,2006,CARLOTTA,1994,pacific,33,29,3342.9,3133.7,2.2134,2.601,2.0248,2.0157,2.601,2.0248,382.48,379.6,0.1221
EP131985,EP102002,MARTY,1985,HERNAN,2002,pacific,29,31,2793.0,2759.0,2.6219,2.7955,2.0863,2.1277,2.7955,2.1277,382.57,380.07,0.1387
EP101980,EP071971,JAVIER,1980,GEORGETTE,1971,pacific,26,29,2812.3,3063.9,2.6574,2.8533,2.0604,2.0997,2.8533,2.0997,382.72,380.22,0.1361
EP091988,EP172014,IVA,1988,POLO,2014,pacific,36,44,3148.6,3352.7,2.5953,2.944,2.1418,2.3793,2.944,2.3793,382.95,382.02,0.1216
EP071990,EP042014,FAUSTO,1990,DOUGLAS,2014,pacific,28,42,2874.0,2709.5,2.8029,2.861,2.0342,2.0793,2.861,2.0793,383.15,380.62,0.1414
